task_id,project_id,project_domain,project_type,task_title,task_description,project_complexity,project_criticality,role_required,team_size_required,assigned_count,estimated_hours,deadline_days,priority,required_experience_years,required_skill_ids,required_skill_levels,critical_skill_ids,required_skill_count,critical_skill_count,task_start_date,task_due_date
TSK000001,PRJ00001,Travel,API Development,Modernise webhook delivery service for Travel loyalty and rewards system,"This workstream covers webhook delivery service within the loyalty and rewards system. The change is low blast-radius and can be scheduled flexibly. Delivery depends on proven ability in define software architecture and define technical requirements. The window is 18 days, with about 108 hours of effort expected from each assignee.",Moderate,Low,Backend Developer,10,9,108.4,18,High,3.14,f7e2eb04-3e50-4561-bce1-7e51a1fec308|d9e5349e-8791-49c2-8ba4-839fdd1606c2,3|3,f7e2eb04-3e50-4561-bce1-7e51a1fec308,2,1,2023-12-21,2024-01-08
TSK000002,PRJ00001,Travel,API Development,Automate rate-limiting and quota service for Travel booking and reservations engine,"Scope of this task is rate-limiting and quota service on the booking and reservations engine. Business impact is limited, so a standard change window applies. The assignee is expected to demonstrate business process modelling, systems development life-cycle and WildFly. Planned at roughly 164 hours of individual effort, due in 34 days.",Moderate,Low,Software Engineer,6,5,164.3,34,Medium,3.6,98301d4a-2cc3-439d-8d7f-0b6ac76302bb|09f2f811-a3fb-4de3-a70f-6420a6935575|b16bcbcb-1d3f-42b3-a6a5-b91348a72b70|def007fa-5fed-4a5f-91a2-b0d7e3db1be1|c5646d72-c082-44fd-b47e-c4b0ec59ebbd,2|1|3|2|4,c5646d72-c082-44fd-b47e-c4b0ec59ebbd,5,1,2024-01-03,2024-02-06
TSK000003,PRJ00001,Travel,API Development,Implement GraphQL service for Travel loyalty and rewards system,"This task delivers GraphQL service against the existing loyalty and rewards system. Business impact is limited, so a standard change window applies. The assignee is expected to demonstrate create flowchart diagram, use software libraries and integrated development environment software. Effort is budgeted at 92 hours per person with a 24-day deadline.",Moderate,Low,Backend Developer,9,10,91.5,24,Low,3.94,901105f8-3a08-453e-b1dc-23619e317fd3|8b94aa1e-89c9-459d-b3b4-1dfab8dec2df|925463a7-d51f-4d5b-9f79-4d28cf30acde|04fe962b-4017-4eb7-9139-7d69b6922bc9|0e0c9c11-b39e-43cf-ba95-2fe646f5de64|6014921e-1d25-4039-adc2-04852d61880e|04f1b938-d4d4-4cb1-a863-982af76b9d93,2|3|2|2|2|3|2,8b94aa1e-89c9-459d-b3b4-1dfab8dec2df|6014921e-1d25-4039-adc2-04852d61880e,7,2,2024-01-10,2024-02-03
TSK000004,PRJ00002,Logistics,Automation,Modernise invoice processing automation for Logistics warehouse management platform,"Delivery of invoice processing automation for the warehouse management platform sits with this task. Business impact is limited, so a standard change window applies. Required capability includes apply company policies, design component interfaces and ICT communications protocols. Effort is budgeted at 82 hours per person with a 18-day deadline.",Basic,Low,Software Engineer,10,9,81.8,18,Low,1.82,0a43729f-2a79-4dae-9faa-95520daae79f|f6868852-9bf6-4899-a5d6-5f9532fb877d|6e4f75b4-c60f-4623-a9ba-760c8245753b|0d168770-4d9c-4096-b048-a6577818d306|8369ede5-4200-4a44-be2e-bc60ef959259,2|3|3|2|1,f6868852-9bf6-4899-a5d6-5f9532fb877d,5,1,2023-11-09,2023-11-27
TSK000005,PRJ00002,Logistics,Automation,Redesign reconciliation automation for Logistics freight visibility platform,"This task delivers reconciliation automation against the existing freight visibility platform. Impact is contained and the change can be reversed without customer disruption. Core competencies required are Scala, COBOL and advise on safety improvements. Estimated effort is 63 hours per assignee against a 12-day delivery window.",Basic,Low,QA Engineer,3,2,62.9,12,Low,2.15,ffddfc7c-a9dd-449f-9e96-882dc447c8b6|def007fa-5fed-4a5f-91a2-b0d7e3db1be1|37838e04-ac5f-43a5-82d0-35f42351fd60|d3286405-49f8-4e8a-8046-a4376b4e7963|e0daabb6-0950-440c-a25f-f5e1ccf15435,1|1|1|4|1,d3286405-49f8-4e8a-8046-a4376b4e7963,5,1,2023-11-23,2023-12-05
TSK000006,PRJ00002,Logistics,Automation,Implement self-healing runbook automation for Logistics transport management system,"The team is responsible for self-healing runbook automation as part of the transport management system. The change is low blast-radius and can be scheduled flexibly. Required capability includes integrated development environment software, computer programming and integrate system components. Effort is budgeted at 64 hours per person with a 12-day deadline.",Basic,Low,Software Engineer,7,6,64.0,12,Low,2.26,925463a7-d51f-4d5b-9f79-4d28cf30acde|21d2f96d-35f7-4e3f-9745-c533d2dd6e97|ed8de897-adbe-4f0e-b4d2-534953e64c72|2b7a79e5-84d8-4880-be66-3d9bb05bea17|19a8293b-8e95-4de3-983f-77484079c389|c3a03c5a-c260-4c26-9b9a-873abb396f4d|0ccdfe98-f845-4598-84a1-3dca66e9d9a3|283cbcd3-7101-4dbb-be37-56f3625515b1|fe29e658-7cad-4b70-a169-10a240ec0bef,1|1|1|2|2|1|4|1|3,0ccdfe98-f845-4598-84a1-3dca66e9d9a3,9,1,2023-11-07,2023-11-19
TSK000007,PRJ00003,Energy,Infrastructure,Build network segmentation redesign for Energy asset performance platform,"Scope of this task is network segmentation redesign on the asset performance platform. Failure would create rework for downstream teams but not customer outage. Required capability includes maintain database performance, administer ICT system and query languages. Effort is budgeted at 289 hours per person with a 81-day deadline.",Advanced,Medium,Cloud Engineer,11,11,288.6,81,High,6.26,d6cdef49-b669-4507-91d1-3f959cf98e47|0868eef3-2213-4572-9343-74931345a7d3|9cf681c7-89ec-470c-b651-7fe03786f586|4463a721-69f3-413d-8321-43e3af13a4f1|e45507ff-c1e2-4e0c-92fb-b6c0e6cb6245,3|2|3|3|2,d6cdef49-b669-4507-91d1-3f959cf98e47|9cf681c7-89ec-470c-b651-7fe03786f586,5,2,2023-04-12,2023-07-02
TSK000008,PRJ00004,Logistics,Business Intelligence,Rebuild BI platform migration for Logistics freight visibility platform,"This task delivers BI platform migration against the existing freight visibility platform. The work touches shared components and needs coordinated release planning. Required capability includes manage intellectual property rights, disseminate results to the scientific community and integrate ICT data. Effort is budgeted at 120 hours per person with a 23-day deadline.",Advanced,Medium,Business Analyst,11,12,119.5,23,Low,5.67,518dc04d-092d-4fa1-bd82-88b7a9278ef7|2b1e2927-3542-48da-9063-02925e7562c1|46ec0033-3c71-415e-bcff-b065675ba2dc|143769cb-b61e-47d8-a61e-eedfbec1016c|cc61f9e5-d4fc-470e-8606-1ce865ff8386,3|5|3|4|3,2b1e2927-3542-48da-9063-02925e7562c1,5,1,2023-04-10,2023-05-03
TSK000009,PRJ00004,Logistics,Business Intelligence,Build BI platform migration for Logistics warehouse management platform,"Delivery of BI platform migration for the warehouse management platform sits with this task. A defect here degrades an internal service, so standard change control applies. Delivery depends on proven ability in analyse the context of an organisation, identify customer requirements and implement strategic planning. Planned at roughly 143 hours of individual effort, due in 36 days.",Advanced,Medium,BI Developer,4,3,142.6,36,High,7.53,9714735d-6f60-440b-bdbc-aaf45ebcbe78|0e0c9c11-b39e-43cf-ba95-2fe646f5de64|f7b5d916-52f0-4865-b6a6-e1a3b711cb5e|696e3b5b-8b61-45af-ae4c-3ab700f197ec|cc61f9e5-d4fc-470e-8606-1ce865ff8386|96d549bb-3e62-4c45-92a7-f114df089581,5|3|4|4|3|3,9714735d-6f60-440b-bdbc-aaf45ebcbe78|f7b5d916-52f0-4865-b6a6-e1a3b711cb5e,6,2,2023-04-22,2023-05-28
TSK000010,PRJ00004,Logistics,Business Intelligence,Roll out BI platform migration for Logistics last-mile routing system,"Delivery of BI platform migration for the last-mile routing system sits with this task. The work touches shared components and needs coordinated release planning. Delivery depends on proven ability in data warehouse, database management systems and manage standards for data exchange. Effort is budgeted at 194 hours per person with a 39-day deadline.",Advanced,Medium,Data Engineer,7,8,193.9,39,Medium,5.38,3ec2e4d6-7000-4905-bf1a-c5b1679416de|ab1e97ed-2319-4293-a8b7-072d2648822f|cb5cccc9-abe4-4b11-abe6-d27e5cd85fb1|03ff0d53-573a-47a0-a0ad-1995815a4339|6c08403c-a5bb-4868-b8c2-b7d039c0e511|1b7c716e-af95-4cda-a42f-6479c8b139f5|46ec0033-3c71-415e-bcff-b065675ba2dc,3|4|4|4|3|1|3,ab1e97ed-2319-4293-a8b7-072d2648822f|cb5cccc9-abe4-4b11-abe6-d27e5cd85fb1,7,2,2023-04-12,2023-05-21
